State,x,y
Andhra Pradesh,-63,-126
Arunachal Pradesh,204,139
Assam,170,96
Bihar,50,80
Chhattisgarh,-7,9
Goa,-153,-114
Gujarat,-191,31
Haryana,-107,150
Himachal Pradesh,-94,198
Jharkhand,41,40
Karnataka,-123,-140
Kerala,-111,-209
Madhya Pradesh,-80,29
Maharashtra,-126,-45
Manipur,196,64
Meghalaya,150,78
Mizoram,180,30
Nagaland,207,89
Odisha,30,-23
Punjab,-124,165
Rajasthan,-154,98
Sikkim,100,120
Tamil Nadu,-78,-197
Telangana,-64,-70
Tripura,158,44
Uttar Pradesh,-38,103
Uttarakhand,-59,165
West Bengal,90,25
Andaman And Nicobar Islands,186,-173
Chandigarh,-100,176
Dadra And Nagar Haveli And Daman And Diu,-169,-24
Delhi,-96,136
Jammu And Kashmir,-131,234
Ladakh,-97,255
Lakshadweep,-174,-200
Puducherry,-52,-180
